bbl,address,building_area_sqft,year_built,year_alter1,year_alter2,last_known_alteration,owner_name,owner_type,latitude,longitude,landuse,community_district,council_district,districts,in_hells_kitchen,in_community_board_4,in_council_district_3,zola_url,has_financing_document,document_type,document_date,document_amount,finance_amount_per_gross_sqft,rentable_sqft,finance_amount_per_rentable_sqft,document_crfn,property_type,street_address
1005807501.00000000,330 HUDSON STREET,351759,1910,2008,2008,2008,UNAVAILABLE OWNER,,40.7269195,-74.0069164,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/580/7501,False,,,,0.0,0.0,0.0,,,330 HUDSON STREET
1006467502.00000000,450 WEST 14 STREET,103878,1934,0,0,0,UNAVAILABLE OWNER,,40.7416752,-74.0078309,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/646/7502,False,,,,0.0,0.0,0.0,,,450 WEST 14 STREET
1006007501.00000000,395 HUDSON STREET,579930,1921,0,0,0,UNAVAILABLE OWNER,,40.7292031,-74.0077753,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/600/7501,False,,,,0.0,0.0,0.0,,,395 HUDSON STREET
1007297507.00000000,450 WEST 33RD STREET,1438273,1969,0,0,0,450 PARTNERS LLC,,40.7530442,-73.9994478,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/729/7507,False,,,,0.0,0.0,0.0,,,450 WEST 33RD STREET
1007757501.00000000,217 WEST 25 STREET,109490,1912,0,0,0,ARADCO LTD,,40.7458584,-73.9952579,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/775/7501,False,,,,0.0,0.0,0.0,,,217 WEST 25 STREET
1010180018.00000000,219 WEST 46 STREET,399325,1930,0,0,0,"EDISON MANAGEMENT CO., L.L.C.",,40.7595787,-73.9862832,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1018/18,True,MTGE,2015-04-23T00:00:00.000,20000000,50.08,507142.75,39.44,2015000150506,OT,219 WEST 46 STREET
1010190055.00000000,234 WEST 48 STREET,117102,1927,1989,0,1989,234 WEST 48 LLC,,40.7605284,-73.9863877,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1019/55,True,MTGE,2013-10-18T00:00:00.000,13200000,112.72,148719.54,88.76,2013000449986,CR,234 WEST 48 STREET
1010210026.00000000,750 7 AVENUE,561139,1988,0,0,0,750 SEVENTH AVE NY LLC,,40.7608848,-73.9839114,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1021/26,True,DEED,2011-05-03T00:00:00.000,485000000,864.31,712646.53,680.56,2011000170733,OF,750 7 AVENUE
1010390017.00000000,319 WEST 48 STREET,186954,1961,1989,0,1989,319 BELVEDERE REALTYCO,,40.7617472,-73.9879361,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1039/17,True,MTGE,2020-02-13T00:00:00.000,3979460.71,21.29,237431.58,16.76,2020000067087,OT,319 WEST 48 STREET
1010400029.00000000,825 8 AVENUE,1596521,1987,0,0,0,"WWP OFFICE, LLC",,40.7622302,-73.9869433,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1040/29,True,MTGE,2013-02-25T00:00:00.000,240000000,150.33,2027581.67,118.37,2013000138769,OF,825 8 AVENUE
1008310042.00000000,276 5 AVENUE,133300,1920,0,0,0,"MK 276, LLC",,40.7459017,-73.9869140,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/831/42,True,DEED,2025-04-29T00:00:00.000,62023351.19,465.29,169291.0,366.37,2025000125305,CR,276 5 AVENUE
1007130001.00000000,75 9 AVENUE,1100533,1905,2014,2015,2015,MANHATTAN CHELSEA MARKET LLC,P,40.7425509,-74.0060555,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/713/1,True,DEED,2018-03-20T00:00:00.000,2397501899,2178.49,1397676.91,1715.35,2018000097639,CR,75 9 AVENUE
1007120001.00000000,444 WEST 15 STREET,281361,1936,1971,2012,2012,BLACK LARK ENTERPRISES LLC,,40.7422407,-74.0072608,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/712/1,True,DEED,2019-05-22T00:00:00.000,591800000.00,2103.35,357328.47,1656.18,2019000168995,OF,444 WEST 15 STREET
1008030007.00000000,153 WEST 27 STREET,115925,1912,1989,0,1989,JUSTIN PROPERTIES,,40.7465335,-73.9930311,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/803/7,True,MTGE,2022-03-11T00:00:00.000,3000000.00,25.88,147224.75,20.38,2022000121089,CR,153 WEST 27 STREET
1008040044.00000000,104 WEST 29 STREET,121579,1923,2003,0,2003,104 WEST 29 ST CO,,40.7467200,-73.9907971,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/804/44,True,MTGE,2024-05-09T00:00:00.000,10990000,90.39,154405.33,71.18,2024000125207,CR,104 WEST 29 STREET
1006980001.00000000,244 11 AVENUE,154433,1912,1983,0,1983,CIRCLE 1 LLC,P,40.7509417,-74.0049446,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/698/1,True,MTGE,2015-12-22T00:00:00.000,2173423.1,14.07,196129.91,11.08,2016000012196,OF,244 11 AVENUE
1008070028.00000000,119 WEST 31 STREET,221227,1912,1982,0,1982,116 WEST 32ND I LLC,,40.7485891,-73.9898549,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/807/28,True,MTGE,2016-11-04T00:00:00.000,40000000,180.81,280958.29,142.37,2017000001416,OF,119 WEST 31 STREET
1008070039.00000000,875 AVENUE OF THE AMER,214349,1926,0,0,0,BCSP-K 875 PROPERTY LLC,,40.7482130,-73.9893460,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/807/39,True,DEED,2023-06-30T00:00:00.000,92500000.00,431.54,272223.23,339.79,2023000172945,CR,875 AVENUE OF THE AMER
1007840064.00000000,240 WEST 35 STREET,145372,1924,0,0,0,240 WEST 35TH OWNER LLC,,40.7521409,-73.9918539,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/784/64,True,DEED,2024-06-26T00:00:00.000,30000000,206.37,184622.44,162.49,2024000172759,CR,240 WEST 35 STREET
1007850018.00000000,237 WEST 35 STREET,144141,1924,0,2015,2015,35TH STREET ASSOCIATES,,40.7524593,-73.9914640,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/785/18,True,MTGE,,6000000,41.63,183059.07,32.78,,PA,237 WEST 35 STREET
1008150001.00000000,1411 BROADWAY,1088074,1969,2016,0,2016,1411 IC-SIC PROPERTY LLC,,40.7541936,-73.9875657,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/815/1,True,MTGE,2020-02-28T00:00:00.000,35000000.00,32.17,1381853.98,25.33,2020000084010,CR,1411 BROADWAY
1008140015.00000000,1407 BROADWAY,911896,1950,2017,0,2017,1407 BROADWAY,,40.7535322,-73.9877679,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/814/15,True,MTGE,2019-11-01T00:00:00.000,64000000.00,70.18,1158107.92,55.26,2019000370481,CR,1407 BROADWAY
1007880049.00000000,530 7 AVENUE,408130,1929,0,0,0,RS REALTY SPE 530 LLC,,40.7541032,-73.9888723,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/49,True,MTGE,2021-02-26T00:00:00.000,25000000.00,61.25,518325.1,48.23,2021000113158,CR,530 7 AVENUE
1007880037.00000000,209 WEST 38 STREET,144635,1910,1974,0,1974,209-219 W. 38 LLC,,40.7539660,-73.9892766,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/788/37,True,MTGE,2021-07-16T00:00:00.000,216098.50,1.49,183686.45,1.18,2021000288411,OF,209 WEST 38 STREET
