bbl,address,building_area_sqft,year_built,year_alter1,year_alter2,last_known_alteration,owner_name,owner_type,latitude,longitude,landuse,community_district,council_district,districts,in_hells_kitchen,in_community_board_4,in_council_district_3,zola_url,has_financing_document,document_type,document_date,document_amount,finance_amount_per_gross_sqft,rentable_sqft,finance_amount_per_rentable_sqft,document_crfn,property_type,street_address
1008060076.00000000,371 7 AVENUE,473391,1929,1988,0,1988,CYH MANHATTAN LLC,,40.7487045,-73.9916630,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/806/76,True,MTGE,2016-12-20T00:00:00.000,18750000,39.61,601206.57,31.19,2016000454678,CR,371 7 AVENUE
1008060058.00000000,128 WEST 31 STREET,384655,1925,1989,0,1989,VBGO PENN PLAZA FEE LLC,,40.7481884,-73.9907716,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/806/58,True,DEED,2018-01-11T00:00:00.000,31000000,80.59,488511.85,63.46,2018000028097,CR,128 WEST 31 STREET
1005810063.00000000,225 VARICK STREET,299592,1926,2015,2010,2015,NEW REMAINDERMAN 225 VARICK LLC,,40.7290028,-74.0056574,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/581/63,True,DEED,2019-04-16T00:00:00.000,10.00,0.0,380481.84,0.0,2019000155939,CR,225 VARICK STREET
1010160036.00000000,1515 BROADWAY,1721814,1970,1990,2013,2013,1515 BROADWAY OWNER LLC,,40.7579291,-73.9864388,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1016/36,True,MTGE,2013-02-14T00:00:00.000,130852585.65,76.0,2186703.78,59.84,2013000116613,OF,1515 BROADWAY
1007840019.00000000,225 WEST 34 STREET,461386,1924,1925,0,1925,14 SO. WILLIAMSPORT HOLDINGS LLC,,40.7518637,-73.9917095,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/784/19,True,MTGE,2014-03-21T00:00:00.000,130000000,281.76,585960.22,221.86,2014000106722,OF,225 WEST 34 STREET
1007860023.00000000,229 WEST 36 STREET,130000,1921,1964,2008,2008,CA 36TH STREET HOLDINGS LLC,,40.7530137,-73.9908612,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/786/23,True,DEED,2025-05-22T00:00:00.000,19250000,148.08,165100.0,116.6,2025000148595,CR,229 WEST 36 STREET
1007860001.00000000,520 8 AVENUE,754487,1926,1962,0,1962,NEW 520 GSH LLC,,40.7535737,-73.9918826,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/786/1,True,MTGE,2022-04-11T00:00:00.000,2623855.45,3.48,958198.49,2.74,2022000181663,OF,520 8 AVENUE
1007870044.00000000,512 7 AVENUE,553748,1930,1985,2000,2000,500 SEVENTH AVENUE,,40.7534500,-73.9892766,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/787/44,True,MTGE,2018-05-30T00:00:00.000,483026980,872.29,703259.96,686.84,2018000203292,CR,512 7 AVENUE
1007840068.00000000,248 WEST 35 STREET,133948,1925,0,0,0,248 WEST 35TH STREET LLC,,40.7522562,-73.9921282,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/784/68,True,MTGE,2017-07-18T00:00:00.000,14224451.74,106.19,170113.96,83.62,2017000267664,CR,248 WEST 35 STREET
1007870011.00000000,247 WEST 37 STREET,214130,1924,0,0,0,"247 WEST 37TH ST. ASSOCIATES,",,40.7539771,-73.9912220,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/787/11,False,,,,0.0,0.0,0.0,,,247 WEST 37 STREET
1007840071.00000000,254 WEST 35 STREET,106642,1924,0,0,0,CS MIDTOWN 35 LLC,,40.7523551,-73.9923664,6,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/784/71,True,MTGE,2024-11-20T00:00:00.000,5122217.08,48.03,135435.34,37.82,2024000313072,CR,254 WEST 35 STREET
1007850025.00000000,225 WEST 35 STREET,106810,1924,1987,0,1987,225 W.35TH ST.ASSOC.,,40.7522781,-73.9910273,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/785/25,True,MTGE,2021-11-04T00:00:00.000,3000000.00,28.09,135648.7,22.12,2021000456665,CR,225 WEST 35 STREET
1007860068.00000000,240 WEST 37 STREET,130766,1904,1929,0,1929,FPP TIC LLC,,40.7534117,-73.9910488,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/786/68,True,MTGE,2021-04-14T00:00:00.000,24938458.16,190.71,166072.82,150.17,2021000155002,CR,240 WEST 37 STREET
1008130016.00000000,1375 BROADWAY,464951,1927,0,0,0,1375 OWNER LLC,,40.7525660,-73.9878944,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/813/16,True,DEED,2024-12-19T00:00:00.000,170403750,366.5,590487.77,288.58,2024000339887,OF,1375 BROADWAY
1008130001.00000000,501 7 AVENUE,433330,1923,1989,0,1989,"ESRT 501 SEVENTH AVENUE, L.L.C.",,40.7528543,-73.9885657,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/813/1,True,DEED,2013-10-07T00:00:00.000,95555929,220.52,550329.1,173.63,2013000426358,OF,501 7 AVENUE
1008120063.00000000,134 WEST 37 STREET,120000,1914,1988,0,1988,134 WEST 37TH STREET,,40.7523465,-73.9885333,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/812/63,False,,,,0.0,0.0,0.0,,,134 WEST 37 STREET
1008120006.00000000,491 7 AVENUE,180704,1925,1986,0,1986,499 FASHION TOWER LLC,,40.7525881,-73.9891071,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/812/6,True,MTGE,2004-11-01T00:00:00.000,7275317.68,40.26,229494.08,31.7,2005000055318,AP,491 7 AVENUE
1007860076.00000000,252 WEST 37 STREET,139629,1924,0,0,0,SHEVA 7 LLC,,40.7535737,-73.9914386,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/786/76,True,MTGE,2013-12-31T00:00:00.000,9493606.59,67.99,177328.83,53.54,2014000020456,CR,252 WEST 37 STREET
1007850007.00000000,261 WEST 35 STREET,114368,1924,1989,0,1989,35TH ST OWNERS CORP,,40.7527997,-73.9922761,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/785/7,True,MTGE,2016-10-21T00:00:00.000,7000000,61.21,145247.36,48.19,2016000389453,CR,261 WEST 35 STREET
1007850001.00000000,500 8 AVENUE,243350,1922,1965,0,1965,500 EIGHTH AVENUE LIMITED LIABILITY COMP ANY,P,40.7530111,-73.9924349,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/785/1,True,MTGE,2018-05-21T00:00:00.000,10000000,41.09,309054.5,32.36,2018000174996,OF,500 8 AVENUE
1007870040.00000000,500 7 AVENUE,606078,1921,1972,2000,2000,500 SEVENTH AVENUE,,40.7534308,-73.9896953,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/787/40,True,MTGE,2018-05-30T00:00:00.000,483026980,796.97,769719.06,627.54,2018000203292,CR,500 7 AVENUE
1007860051.00000000,498 7 AVENUE,803800,1920,1998,0,1998,498 SEVENTH LLC,,40.7528489,-73.9900275,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/786/51,True,MTGE,2020-05-01T00:00:00.000,218313088.85,271.6,1020826.0,213.86,2020000141781,CR,498 7 AVENUE
1007850011.00000000,253 WEST 35 STREET,132118,1924,0,0,0,BALBO REALTY LLC,,40.7526871,-73.9920090,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/785/11,True,MTGE,,14062.26,0.11,167789.86,0.08,,PA,253 WEST 35 STREET
1007860013.00000000,255 WEST 36 STREET,112578,1923,0,0,0,MANCHESTER WEST 36 LLC,,40.7532662,-73.9914675,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/786/13,True,MTGE,2022-03-14T00:00:00.000,2577000.74,22.89,142974.06,18.02,2022000118735,CR,255 WEST 36 STREET
1007850067.00000000,242 WEST 36 STREET,152667,1922,1962,0,1962,KAUFMAN WALES ASSOC,,40.7528216,-73.9915723,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/785/67,True,MTGE,2025-05-20T00:00:00.000,1746517.93,11.44,193887.09,9.01,2025000143218,CR,242 WEST 36 STREET
1007870025.00000000,225 WEST 37 STREET,163103,1923,0,0,0,JLJ BRICKEN LLC,,40.7536449,-73.9904244,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/787/25,True,MTGE,2013-12-05T00:00:00.000,25000000,153.28,207140.81,120.69,2013000520932,OF,225 WEST 37 STREET
1007840077.00000000,494 8 AVENUE,111274,1928,1965,0,1965,494 EIGHTH AVENUE LLC,,40.7525966,-73.9927634,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/784/77,True,MTGE,2020-03-13T00:00:00.000,18000000.00,161.76,141317.98,127.37,2020000100860,CR,494 8 AVENUE
1008120022.00000000,1359 BROADWAY,397978,1924,0,0,0,"ESRT 1359 BROADWAY, L.L.C.",,40.7518551,-73.9879595,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/812/22,True,DEED,2013-10-07T00:00:00.000,160317129,402.83,505432.06,317.19,2013000432784,OF,1359 BROADWAY
1008110051.00000000,132 WEST 36 STREET,187350,1922,0,0,0,KAUFMAN ARCADE OWNER LLC,,40.7514600,-73.9886886,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/811/51,True,MTGE,2021-03-30T00:00:00.000,2000000.00,10.68,237934.5,8.41,2022000152474,CR,132 WEST 36 STREET
1008130055.00000000,1385 BROADWAY,438643,1926,0,0,0,"B. BROS. BROADWAY REALTY, LLC",,40.7528624,-73.9878366,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/813/55,True,MTGE,2015-12-23T00:00:00.000,5949371.37,13.56,557076.61,10.68,2015000461211,OF,1385 BROADWAY
1008110001.00000000,463 7 AVENUE,408511,1925,0,0,0,"ARSENAL COMPANY,",,40.7516494,-73.9895332,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/811/1,True,MTGE,2020-03-17T00:00:00.000,10000000.00,24.48,518808.97,19.27,2020000113530,OF,463 7 AVENUE
1008100001.00000000,441 7 AVENUE,2192088,1930,2013,0,2013,MACY'S EAST INC,,40.7508122,-73.9891038,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/810/1,True,MTGE,,357465253,163.07,2783951.76,128.4,,PA,441 7 AVENUE
1007080031.00000000,469 10 AVENUE,241508,1915,2023,0,2023,530 ADLER REALTY,,40.7562419,-73.9985057,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/708/31,True,MTGE,2021-07-02T00:00:00.000,3338677,13.82,306715.16,10.89,2021000281926,CR,469 10 AVENUE
1007600043.00000000,531 8 AVENUE,137003,1927,1998,0,1998,535 EIGHTH AVENUE LLC,,40.7540019,-73.9925466,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/760/43,True,MTGE,2012-08-01T00:00:00.000,13119785.5,95.76,173993.81,75.4,2012000322328,OF,531 8 AVENUE
1007590037.00000000,501 8 AVENUE,266912,1930,0,0,0,505 8TH CORP,,40.7531840,-73.9932325,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/759/37,True,MTGE,,3820000,14.31,338978.24,11.27,,PA,501 8 AVENUE
1007600055.00000000,320 WEST 37 STREET,100244,1927,1989,0,1989,320 W 37 LLC,,40.7543890,-73.9933623,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/760/55,True,MTGE,2016-03-24T00:00:00.000,41700000,415.98,127309.88,327.55,2016000108595,CR,320 WEST 37 STREET
1007600021.00000000,329 WEST 36 STREET,115763,1924,0,0,0,327 W 36 STREET LLC,,40.7542271,-73.9937269,6,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/760/21,True,MTGE,2015-07-02T00:00:00.000,2407986.12,20.8,147019.01,16.38,2015000282470,CR,329 WEST 36 STREET
1007580037.00000000,481 8 AVENUE,1300727,1929,1990,2015,2015,THE HOLY SPIRIT ASSOCIATION FOR THE UNIF ICATION OF WORLD CHRISTIANITY,,40.7527229,-73.9936440,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/758/37,True,DEED,2021-09-15T00:00:00.000,400000000.00,307.52,1651923.29,242.14,2023000239720,RS,481 8 AVENUE
1007570031.00000000,461 8 AVENUE,611625,1917,1983,0,1983,5 PENN PLAZA LLC,,40.7519874,-73.9940664,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/757/31,True,MTGE,2007-04-02T00:00:00.000,111085492.72,181.62,776763.75,143.01,2007000180511,OF,461 8 AVENUE
1007280060.00000000,442 WEST 31 STREET,112146,1918,1999,2016,2016,450 WEST 31ST OWNRSCP,,40.7521440,-73.9998592,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/728/60,True,MTGE,2022-09-28T00:00:00.000,2099000.00,18.72,142425.42,14.74,2022000386559,CR,442 WEST 31 STREET
1007750058.00000000,226 WEST 26 STREET,103873,1928,1983,0,1983,"226 WEST 26TH STREET,    .",,40.7463552,-73.9956873,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/775/58,True,MTGE,2017-06-02T00:00:00.000,5018150.99,48.31,131918.71,38.04,2017000216836,CR,226 WEST 26 STREET
1005960092.00000000,319 SPRING STREET,479500,1949,1990,0,1990,UNITED PARCEL SERVICE INC,,40.7274738,-74.0092435,6,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/596/92,True,MTGE,,10000000,20.86,608965.0,16.42,,PA,319 SPRING STREET
1005970012.00000000,78 VANDAM STREET,374584,1907,2016,2015,2016,315 HUDSON LLC  C/O J,P,40.7262744,-74.0079878,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/597/12,True,MTGE,2019-05-23T00:00:00.000,65000000.00,173.53,475721.68,136.63,2019000168714,CR,78 VANDAM STREET
1007890075.00000000,264 WEST 40 STREET,116100,1927,1989,0,1989,RENAISSANCE MIDTOWN WEST LLC,,40.7555553,-73.9903736,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/789/75,True,MTGE,2016-09-29T00:00:00.000,12759718.07,109.9,147447.0,86.54,2016000346167,CR,264 WEST 40 STREET
1010427501.00000000,851 8 AVENUE,264932,1962,0,0,0,UNAVAILABLE OWNER,,40.7633609,-73.9858132,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1042/7501,False,,,,0.0,0.0,0.0,,,851 8 AVENUE
1010240038.00000000,1680 BROADWAY,701095,1969,0,0,0,SLG 810 SEVENTH LESSEE LLC,,40.7629130,-73.9825247,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1024/38,True,MTGE,2007-01-25T00:00:00.000,108568022,154.85,890390.65,121.93,2007000219890,CR,1680 BROADWAY
1010230029.00000000,1652 BROADWAY,461591,1963,0,0,0,"MTS NY PROPCO, L.P.",,40.7622077,-73.9830086,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/1023/29,True,MTGE,2018-07-12T00:00:00.000,15000000,32.5,586220.57,25.59,2018000240851,CR,1652 BROADWAY
1007557501.00000000,441 8TH AVENUE,1094973,1934,0,0,0,NEW YORK STATE URBAN DEVELOPMENT CORPORA TION D/B/A/ EMPIRE STATE DEVEL,X,40.7515181,-73.9958385,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/755/7501,False,,,,0.0,0.0,0.0,,,441 8TH AVENUE
1008490070.00000000,915 BROADWAY,215740,1926,1982,2012,2012,915 BROADWAY ASSOCIATES LLC,,40.7398223,-73.9899897,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/849/70,True,MTGE,2016-09-15T00:00:00.000,40000000,185.41,273989.8,145.99,2016000325154,OF,915 BROADWAY
1008470062.00000000,881 BROADWAY,276481,1896,0,0,0,BJW REALTY LLC,,40.7385488,-73.9907549,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/847/62,True,MTGE,2020-01-22T00:00:00.000,187588200,678.48,351130.87,534.24,2020000037395,CR,881 BROADWAY
1008220070.00000000,54 WEST 21 STREET,142532,1910,1985,0,1985,5421 EQUITIES COMPANY,,40.7411620,-73.9932373,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/822/70,True,MTGE,2011-06-29T00:00:00.000,8337310.73,58.49,181015.64,46.06,2011000276714,OT,54 WEST 21 STREET
1008190039.00000000,122 5TH AVENUE,244069,1900,1987,2021,2021,122 FIFTH ASSOC,,40.7384090,-73.9925484,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/819/39,True,MTGE,2021-11-19T00:00:00.000,87600000,358.91,309967.63,282.61,2021000485920,CR,122 5TH AVENUE
1008220015.00000000,27 WEST 20 STREET,100800,1908,0,0,0,27 SWEST STREET LLC,,40.7406460,-73.9926961,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/822/15,False,,,,0.0,0.0,0.0,,,27 WEST 20 STREET
1008210032.00000000,11 WEST 19 STREET,224320,1904,1987,0,1987,11 WEST 19TH ASSOCIATES LLC,,40.7398198,-73.9922379,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/821/32,True,MTGE,2010-11-23T00:00:00.000,5609375,25.01,284886.4,19.69,2010000406528,OF,11 WEST 19 STREET
1008290050.00000000,1164 BROADWAY,112608,1903,1983,2008,2008,1164-1172 BROADWAY GROUND OWNER LLC,,40.7449027,-73.9884877,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/829/50,True,DEED,2021-10-14T00:00:00.000,77456250.00,687.84,143012.16,541.61,2021000426462,CR,1164 BROADWAY
1008270049.00000000,1129 BROADWAY,183168,1896,0,0,0,1133 ST. JAMES LLC,,40.7436787,-73.9893756,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/827/49,True,MTGE,2017-12-28T00:00:00.000,17673585,96.49,232623.36,75.98,2018000003380,OF,1129 BROADWAY
1008280035.00000000,218 5 AVENUE,150888,1912,2020,2017,2020,"CROISIC FEE OWNER II, LLC",,40.7437280,-73.9884554,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/828/35,True,MTGE,2025-02-26T00:00:00.000,80000000,530.19,191627.76,417.48,2025000084253,CR,218 5 AVENUE
1008250012.00000000,49 WEST 23 STREET,337000,1916,0,0,0,23 R.P. ASSOCIATES LLC,,40.7427621,-73.9913714,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/825/12,True,DEED,2021-06-07T00:00:00.000,7615091,22.6,427990.0,17.79,2021000240849,CR,49 WEST 23 STREET
1008260065.00000000,40 WEST 25 STREET,128965,1913,2012,0,2012,40 W 25 LLC,,40.7435992,-73.9910682,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/826/65,True,MTGE,2019-12-18T00:00:00.000,50000000.00,387.7,163785.55,305.28,2019000419378,CR,40 WEST 25 STREET
1008230029.00000000,15 WEST 21 STREET,137007,1910,1988,1989,1989,MEYSAR REALTY CORP,,40.7410411,-73.9914294,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/823/29,True,MTGE,2015-05-11T00:00:00.000,4500000,32.85,173998.89,25.86,2015000208299,OF,15 WEST 21 STREET
1008240015.00000000,37 WEST 22 STREET,284930,1906,2011,2015,2015,50 WEST 23RD STREET A LLC,P,40.7420348,-73.9919525,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/824/15,True,DEED,2010-11-12T00:00:00.000,129500000,454.5,361861.1,357.87,2010000396050,CR,37 WEST 22 STREET
1008260057.00000000,24 WEST 25 STREET,114807,1911,2013,2019,2019,"24 WEST 25TH STREET PROPERTY INVESTORS I V, LLC",,40.7433302,-73.9904295,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/826/57,True,MTGE,2019-08-08T00:00:00.000,50920000.00,443.53,145804.89,349.23,2019000260304,CR,24 WEST 25 STREET
1008240028.00000000,40 WEST 23 STREET,439330,1911,1982,2012,2012,23RD STREET LLC,,40.7417493,-73.9912561,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/824/28,True,MTGE,2010-11-01T00:00:00.000,9178883.63,20.89,557949.1,16.45,2010000375244,CR,40 WEST 23 STREET
1008260046.00000000,1115 BROADWAY,259749,1914,2012,0,2012,16 MADISON SQUARE WEST LLC,,40.7430117,-73.9897908,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/826/46,True,MTGE,2023-08-14T00:00:00.000,48000000.00,184.79,329881.23,145.51,2023000215502,CR,1115 BROADWAY
1008300062.00000000,1195 BROADWAY,107030,1930,1987,0,1987,1201 BROADWAY LLC,,40.7459293,-73.9889422,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/830/62,True,MTGE,2015-10-01T00:00:00.000,15182670.53,141.85,135928.1,111.7,2015000358310,CR,1195 BROADWAY
1008320001.00000000,856 AVENUE OF THE AMER,187973,1900,0,0,0,1239 OPERATING LLC,,40.7472111,-73.9889167,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/832/1,True,MTGE,2019-06-11T00:00:00.000,40000000.00,212.8,238725.71,167.56,2019000196164,CR,856 AVENUE OF THE AMER
1008330006.00000000,1255 BROADWAY,120882,1909,1987,0,1987,1255-1261 BROADWAY LLC,,40.7478808,-73.9886243,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/833/6,True,MTGE,2013-06-28T00:00:00.000,11774543.12,97.41,153520.14,76.7,2013000309745,OF,1255 BROADWAY
1008330018.00000000,39 WEST 31 STREET,132844,1915,1986,0,1986,ROOSEVELT LEE 38 LLC,,40.7476062,-73.9875633,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/833/18,True,MTGE,2017-02-08T00:00:00.000,15796752.98,118.91,168711.88,93.63,2017000068267,OF,39 WEST 31 STREET
1008330057.00000000,22 WEST 32 STREET,113000,1913,2013,0,2013,MONTAGUE LEE 32 LLC,,40.7475156,-73.9869389,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/833/57,True,MTGE,2018-09-25T00:00:00.000,6884326.34,60.92,143510.0,47.97,2018000327143,CR,22 WEST 32 STREET
1008330011.00000000,1240 BROADWAY,671734,1969,2014,0,2014,1250 BROADWAY ASSOCIATES LLC,,40.7477737,-73.9878736,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/833/11,True,MTGE,2019-03-22T00:00:00.000,25132786.00,37.41,853102.18,29.46,2019000099101,CR,1240 BROADWAY
1007670015.00000000,245 WEST 17 STREET,118945,1909,1985,2013,2013,245 - 249 WEST 17 STREET,,40.7414257,-73.9996536,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/767/15,True,DEED,2017-10-11T00:00:00.000,339400000,2853.42,151060.15,2246.79,2017000383762,CR,245 WEST 17 STREET
1007670054.00000000,218 WEST 18 STREET,167210,1912,1984,2008,2008,218 W 18TH STREET GORP PROPERTY LLC,,40.7412830,-73.9990690,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/767/54,True,DEED,2021-12-03T00:00:00.000,170000000.00,1016.69,212356.7,800.54,2021000501673,OF,218 WEST 18 STREET
1007640001.00000000,80 8 AVENUE,185198,1930,0,0,0,THE BET ELI COMPANY DELAWARE LLC,,40.7398584,-74.0020533,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/764/1,True,MTGE,2015-06-29T00:00:00.000,16000000,86.39,235201.46,68.03,2015000286461,OF,80 8 AVENUE
1007670012.00000000,249 WEST 17 STREET,108768,1902,2012,0,2012,249 WEST 17TH STREET PROPERTY INVESTORS II LLC,,40.7415245,-73.9998881,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/767/12,True,DEED,2017-10-11T00:00:00.000,339400000,3120.4,138135.36,2457.01,2017000383762,CR,249 WEST 17 STREET
1007120046.00000000,422 WEST 15 STREET,111300,1950,0,0,0,BRK GARAGE CO,,40.7420266,-74.0063874,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/712/46,False,,,,0.0,0.0,0.0,,,422 WEST 15 STREET
1007400001.00000000,363 WEST 16 STREET,110286,1969,1989,2012,2012,MARKET CORNER REALTYASSOCIATES,,40.7424385,-74.0038758,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/740/1,True,MTGE,2024-12-04T00:00:00.000,1000000,9.07,140063.22,7.14,2024000336409,OT,363 WEST 16 STREET
1007390001.00000000,111 8 AVENUE,2161994,1931,1988,0,1988,ONE CITY BLOCK LLC,,40.7413598,-74.0032081,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/739/1,True,DEED,2010-12-22T00:00:00.000,1770000000,818.69,2745732.38,644.64,2010000430882,OF,111 8 AVENUE
1007780020.00000000,239 WEST 28 STREET,156500,1917,0,0,0,LEXIN CAXTON LLC,,40.7480542,-73.9947597,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/778/20,True,DEED,2024-01-18T00:00:00.000,35150000,224.6,198755.0,176.85,2024000026814,CR,239 WEST 28 STREET
1007760001.00000000,322 8 AVENUE,173491,1925,1985,0,1985,"322 PARTNERS,",,40.7472089,-73.9966292,5,105,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/776/1,True,MTGE,2015-04-29T00:00:00.000,27242000,157.02,220333.57,123.64,2015000190143,OF,322 8 AVENUE
1007790017.00000000,231 WEST 29 STREET,144323,1927,0,0,0,JR BUILDING ASSOCIATES,,40.7486552,-73.9942363,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/779/17,True,MTGE,2014-12-19T00:00:00.000,8501000,58.9,183290.21,46.38,2014000431150,CR,231 WEST 29 STREET
1007790039.00000000,350 7 AVENUE,143845,1927,0,0,0,HARDWELL ACQUISITION LLC,,40.7482407,-73.9931428,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/779/39,True,MTGE,2014-12-23T00:00:00.000,35000000,243.32,182683.15,191.59,2015000021122,CR,350 7 AVENUE
