bbl,address,building_area_sqft,year_built,year_alter1,year_alter2,last_known_alteration,num_floors,rentable_sqft,avg_rentable_sqft_per_floor,owner_name,owner_type,latitude,longitude,landuse,community_district,council_district,districts,in_hells_kitchen,in_community_board_4,in_council_district_3,zola_url,has_financing_document,document_type,document_date,document_amount,finance_amount_per_gross_sqft,finance_amount_per_rentable_sqft,document_crfn,property_type,street_address
1005800065.00000000,171 VARICK STREET,137975,1926,2015,2012,2015,10,175228.25,17522.83,"THE GEORGIAN PRESS, INC.",,40.7274026,-74.0059747,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/580/65,True,MTGE,2012-11-15T00:00:00.000,6514878.65,47.22,37.18,2012000460745,OF,171 VARICK STREET
1005190070.00000000,180 VARICK STREET,329116,1929,2005,2013,2013,17,417977.32,24586.9,180 VARICK LLC,,40.7274823,-74.0051377,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/519/70,False,,,,0.0,0.0,,,180 VARICK STREET
1005810001.00000000,201 VARICK STREET,930680,1928,0,0,0,12,1181963.6,98496.97,US GENERAL SERVICES ADMINISTRATIONN,X,40.7283303,-74.0062743,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/581/1,False,,,,0.0,0.0,,,201 VARICK STREET
1005050036.00000000,161 AVENUE OF THE AMERICAS,615107,1926,2014,2014,2014,13,781185.89,60091.22,OSS 2016 LLC,,40.7259040,-74.0045784,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/505/36,True,MTGE,2021-07-09T00:00:00.000,55000000.00,89.42,70.41,2021000294738,CR,161 AVENUE OF THE AMERICAS
1005050001.00000000,150 VARICK STREET,214110,1926,2013,0,2013,10,271919.7,27191.97,"W. & M. OPERATING, L.L.C.",,40.7260138,-74.0053216,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/505/1,True,MTGE,,181610,0.85,0.67,,PA,150 VARICK STREET
1005800022.00000000,157 VARICK STREET,164791,1922,2011,0,2011,16,209284.57,13080.29,"SM I MMS, L.L.C.",,40.7266972,-74.0061190,6,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/580/22,True,MTGE,2021-12-16T00:00:00.000,1706011000.00,10352.57,8151.63,2022000008012,CR,157 VARICK STREET
1005960002.00000000,532 WASHINGTON STREET,1009855,1933,0,0,0,12,1282515.85,106876.32,550 WASHINGTON OWNER (DE) LLC,,40.7281846,-74.0100410,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/596/2,False,,,,0.0,0.0,,,532 WASHINGTON STREET
1005970062.00000000,323 HUDSON STREET,193813,1967,2007,2016,2016,10,246142.51,24614.25,"DWF VI 325 HUDSON, LLC",,40.7268728,-74.0079049,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/597/62,True,MTGE,2021-05-20T00:00:00.000,112168550,578.75,455.71,2021000216316,OF,323 HUDSON STREET
1005980058.00000000,341 HUDSON STREET,797477,1931,2017,2014,2017,17,1012795.79,59576.22,561 HH LLC,,40.7277456,-74.0078581,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/598/58,True,DEED,2019-04-16T00:00:00.000,10.00,0.0,0.0,2019000155934,CR,341 HUDSON STREET
1005990064.00000000,375 HUDSON STREET,1076164,1987,2012,2014,2014,18,1366728.28,75929.35,NEW REMAINDERMAN 375 HUDSON LLC,,40.7284812,-74.0079232,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/599/64,True,DEED,2019-04-16T00:00:00.000,10.00,0.0,0.0,2019000155942,CR,375 HUDSON STREET
1005970055.00000000,333 HUDSON STREET,101290,1925,2007,0,2007,10,128638.3,12863.83,33 HUDSON STREET,,40.7271335,-74.0076885,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/597/55,True,MTGE,2020-09-03T00:00:00.000,776119.93,7.66,6.03,2020000266931,CR,333 HUDSON STREET
1005800039.00000000,350 HUDSON STREET,259427,1930,2010,2013,2013,9,329472.29,36608.03,NEW REMAINDERMAN 350 HUDSON LLC,,40.7276468,-74.0068443,5,102,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/580/39,True,DEED,2019-04-16T00:00:00.000,10.00,0.0,0.0,2019000155935,CR,350 HUDSON STREET
