bbl,address,building_area_sqft,year_built,owner_name,owner_type,latitude,longitude,landuse,community_district,council_district,districts,in_hells_kitchen,in_community_board_4,in_council_district_3,zola_url,has_financing_document,document_type,document_category,document_date,document_amount,document_crfn,document_party,document_id,property_type,street_address
1010400029.00000000,825 8 AVENUE,1596521,1987,"WWP OFFICE, LLC",,40.7622302,-73.9869433,5,104,3,"Hell's Kitchen, Community Board 4, Council District 3",True,True,True,https://zola.planning.nyc.gov/l/lot/1/1040/29,True,MTGE,Mortgage,,38997256,,Document ID: FT_1990000196699,FT_1990000196699,PA,825 8 AVENUE
1008310042.00000000,276 5 AVENUE,133300,1920,"MK 276, LLC",,40.7459017,-73.9869140,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/831/42,True,MTGE,Mortgage,,2979941,,Document ID: FT_1590000352259,FT_1590000352259,PA,276 5 AVENUE
1007130001.00000000,75 9 AVENUE,1100533,1905,MANHATTAN CHELSEA MARKET LLC,P,40.7425509,-74.0060555,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/713/1,True,MTGE,Mortgage,,12250000,,Document ID: FT_1970000296297,FT_1970000296297,PA,75 9 AVENUE
1007120001.00000000,444 WEST 15 STREET,281361,1936,BLACK LARK ENTERPRISES LLC,,40.7422407,-74.0072608,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/712/1,True,MTGE,Mortgage,,2750000,,Document ID: FT_1860005008586,FT_1860005008586,PA,444 WEST 15 STREET
1008030007.00000000,153 WEST 27 STREET,115925,1912,JUSTIN PROPERTIES,,40.7465335,-73.9930311,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/803/7,True,MTGE,Mortgage,,172921.11,,Document ID: FT_1810005466981,FT_1810005466981,PA,153 WEST 27 STREET
1008040044.00000000,104 WEST 29 STREET,121579,1923,104 WEST 29 ST CO,,40.7467200,-73.9907971,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/804/44,True,MTGE,Mortgage,,221802.66,,Document ID: FT_1000000048200,FT_1000000048200,PA,104 WEST 29 STREET
1006980001.00000000,244 11 AVENUE,154433,1912,CIRCLE 1 LLC,P,40.7509417,-74.0049446,5,104,3,"Community Board 4, Council District 3",False,True,True,https://zola.planning.nyc.gov/l/lot/1/698/1,True,MTGE,Mortgage,,2675000,,Document ID: FT_1970000253897,FT_1970000253897,PA,244 11 AVENUE
1008070028.00000000,119 WEST 31 STREET,221227,1912,116 WEST 32ND I LLC,,40.7485891,-73.9898549,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/807/28,True,MTGE,Mortgage,,6792801.66,,Document ID: FT_1490008418649,FT_1490008418649,PA,119 WEST 31 STREET
1008070039.00000000,875 AVENUE OF THE AMER,214349,1926,BCSP-K 875 PROPERTY LLC,,40.7482130,-73.9893460,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/807/39,True,MTGE,Mortgage,,13630672.38,,Document ID: FT_1850007218885,FT_1850007218885,PA,875 AVENUE OF THE AMER
1007840064.00000000,240 WEST 35 STREET,145372,1924,240 WEST 35TH OWNER LLC,,40.7521409,-73.9918539,5,105,3,Council District 3,False,False,True,https://zola.planning.nyc.gov/l/lot/1/784/64,True,MTGE,Mortgage,,10000,,Document ID: FT_1920000395692,FT_1920000395692,PA,240 WEST 35 STREET
